ykiho,yadmNm,clCdNm,addr,telno,XPos,YPos,estbDd,sidoCdNm,sgguCd,sgguCdNm,emdongNm,postNo
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNTEjJDEjJDIjJDgz,연세선경의원,의원,"서울특별시 동대문구 사가정로 148, 3층 (전농동, SK아파트상가)",2212-1932,127.0605491,37.5769111,20130424,서울,110007,동대문구,전농동,02532
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE4MzIjNjEjJDEjJDQjJDgz,연세선우의원,의원,"서울특별시 강남구 학동로 504, 2층 201호 (삼성동)",02-563-1469,127.0510396,37.5187214,20080213,서울,110001,강남구,삼성동,06084
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ4OSQ0NjE0ODEjODEjJDEjJDYjJDgz,연세성동가정의학과의원,의원,"서울특별시 성동구 광나루로 323, 송정빌딩 2층 (송정동)",02-499-3729,127.0656645,37.5484242,20230530,서울,110011,성동구,송정동,04801
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ5OSQzNjEwMDIjNzEjJDEjJDgjJDgz,연세성모정형외과의원,의원,"서울특별시 관악구 관악로 233, 금성빌딩 3,4층 (봉천동)",02-882-4530,126.9555655,37.4855026,20000322,서울,110004,관악구,봉천동,08744
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ5OSQyNjE4MzIjNDEjJDEjJDQjJDgz,연세성심의원,의원,"서울특별시 강동구 양재대로 1571, 지하 1층 (천호동, 홈플러스)",02-476-7726,127.1422553,37.5457146,20090129,서울,110002,강동구,천호동,05314
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQxIyQ2MiQyNjE4MzIjNTEjJDEjJDYjJDgz,연세세란피부과의원,의원,"서울특별시 금천구 시흥대로 224, 금천리메인시티 604,605호 (시흥동)",02-2135-1375,126.9013002,37.4539296,20190226,서울,110025,금천구,시흥동,08628
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ5MiQyNjE4MzIjNjEjJDEjJDgjJDgz,연세세림내과의원,의원,"서울특별시 용산구 효창원로 140, 자산빌딩 2,3층 (효창동)",02-706-1199,126.9619986,37.5403203,20100421,서울,110014,용산구,효창동,04317
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQxMyQzNjE4MzIjNDEjJDEjJDgjJDgz,연세센스의원,의원,"서울특별시 종로구 종로 115, 4층 (종로3가, 낙원빌딩)",323-3330,126.9904730,37.5706126,20091012,서울,110016,종로구,종로3가,03139
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ5OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,연세센트럴소아청소년과의원,의원,"서울특별시 영등포구 국회대로50길 20, 211호 (영등포동7가, 포레나 영등포 센트럴)",02-2633-7742,126.9054672,37.5237284,20170918,서울,110013,영등포구,영등포동7가,07246
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ3MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,연세센트럴재활의학과의원,의원,"서울특별시 중구 수표로 34, 씨티센터타워 2층 (저동2가)",02-2279-7788,126.9903646,37.5643849,20191222,서울,110017,중구,저동2가,04555
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ4MiQyNjE0ODEjNTEjJDEjJDYjJDgz,연세셀즈의원,의원,"서울특별시 서초구 서초대로 302, 교대역인앤인오피스 11층 (서초동)",02-523-7579,127.0147172,37.4937277,20191016,서울,110021,서초구,서초동,06634
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQxMyQyNjEyMjIjNjEjJDEjJDgjJDgz,연세소아청소년과의원,의원,"서울특별시 마포구 만리재로 133, 5층 (아현동)",02-393-0119,126.9621565,37.5516340,20040218,서울,110009,마포구,아현동,04203
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQ4OSQyNjE0ODEjNjEjJDEjJDgjJDgz,연세속편안내과의원,의원,"서울특별시 은평구 은평로 170, 302호 (응암동, 상현빌딩)",02-386-7588,126.9266658,37.6011010,20140305,서울,110015,은평구,응암동,03462
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ3OSQyNjE4MzIjODEjJDEjJDIjJDgz,연세속편한내과의원,의원,"서울특별시 관악구 남부순환로 1942, 2층 (봉천동)",02-6746-6252,126.9645233,37.4764006,20220318,서울,110004,관악구,봉천동,08793
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ4MiQzNjEwMDIjNDEjJDEjJDgjJDgz,연세속편한의원,의원,"서울특별시 성북구 화랑로 248, 501~503호 (석관동, 장위뉴타워)",02-967-3333,127.0569262,37.6104155,20110916,서울,110012,성북구,석관동,02787
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ5OSQzNjEyMjIjNjEjJDEjJDgjJDgz,연세수정정형외과의원,의원,"서울특별시 강서구 곰달래로 254-1, (화곡동)",02-2644-3601,126.8613065,37.5318783,20030814,서울,110003,강서구,화곡동,07785
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ4MiQyNjE0ODEjODEjJDEjJDIjJDgz,연세쉼내과의원,의원,"서울특별시 강남구 역삼로 433, 3층 301호 (대치동)",02-6207-0119,127.0543819,37.5018621,20241121,서울,110001,강남구,대치동,06196
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQwMyQzNjE0ODEjNTEjJDEjJDYjJDgz,연세스타피부과의원,의원,"서울특별시 서대문구 신촌로 73, 테라운드 2층,6층 (창천동)",02-332-0023,126.9345387,37.5563093,20020723,서울,110010,서대문구,창천동,03789
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,연세스타피부과의원,의원,"서울특별시 서초구 방배로 83, 방배센트럴빌딩 2층일부,7층 (방배동)",02-582-0828,126.9970075,37.4818646,20210811,서울,110021,서초구,방배동,06686
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ4OSQyNjEwMDIjNTEjJDEjJDIjJDgz,연세신도의원,의원,"서울특별시 종로구 종로 374, 2층 (숭인동)",02-2234-5004,127.0190725,37.5737711,19970217,서울,110016,종로구,숭인동,03115
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjEwMDIjNTEjJDEjJDIjJDgz,연세신영의원,의원,"서울특별시 강서구 방화대로7나길 29, 2층 (공항동)",02-2663-7749,126.8141442,37.5563221,20040715,서울,110003,강서구,공항동,07625
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ5OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,연세신효선성형외과의원,의원,"서울특별시 강북구 도봉로 358, 코스타타워 3층 303호 (번동)",02-905-0690,127.0274913,37.6391454,20030513,서울,110024,강북구,번동,01063
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQwMyQzNjE4MzIjNTEjJDEjJDIjJDgz,연세아르미안의원,의원,"서울특별시 강남구 학동로 433, 3층 (청담동)",02-1544-3132,127.0483242,37.5187786,20110926,서울,110001,강남구,청담동,06068
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjEyMjIjODEjJDEjJDIjJDgz,연세아름다운산부인과의원,의원,"서울특별시 서대문구 신촌로 183, 유인빌딩 2층 (대현동)",02-363-7379,126.9463283,37.5570841,20230401,서울,110010,서대문구,대현동,03767
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ4OSQzNjE4MzIjNTEjJDEjJDYjJDgz,연세아름다운피부과의원,의원,"서울특별시 중랑구 사가정로 398, 3층 (면목동)",02-435-7585,127.0888289,37.5802856,20020726,서울,110019,중랑구,면목동,02249
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,연세아우어정신건강의학과의원,의원,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 11층 5호 (구의동)",02-3424-2787,127.0957093,37.5357263,20250624,서울,110023,광진구,구의동,05116
